"peak_rank","points","year","preview_url","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id"
69,106,1958,"0862e533ac0288fd1fe41a8d0fb5716997ccf173","Andy Rose","Just Young","False",NULL,NULL,NULL,NULL,NULL,NULL
17,665,1958,NULL,"Andy Williams","Promise Me, Love","True",NULL,NULL,NULL,NULL,NULL,NULL
11,1438,1958,NULL,"Andy Williams","The Hawaiian Wedding Song (Ke Kali Nei Au)","True",NULL,NULL,NULL,NULL,NULL,NULL
89,29,1958,NULL,"Art Lund","Philadelphia U.S.A.","False",NULL,NULL,NULL,NULL,NULL,NULL
47,191,1958,"b95e205894fc6eaf8a8e73a786d98e89a181f313","Augie Rios","¿Dònde Està Santa Claus? (Where Is Santa Claus?)","True",NULL,NULL,NULL,NULL,NULL,NULL
61,112,1958,NULL,"Bernie Lowe Orchestra","Intermission Riff","False",NULL,NULL,NULL,NULL,NULL,NULL
46,287,1958,NULL,"Bernie Lowe Orchestra","Sing Sing Sing","True",NULL,NULL,NULL,NULL,NULL,NULL
56,147,1958,NULL,"Betty Johnson","Hoopa Hoola","False",NULL,NULL,NULL,NULL,NULL,NULL
34,330,1958,"fc80be9093a68797de63cc503584ce28f045ad26","Betty Madigan","Dance Everyone Dance","False",NULL,NULL,NULL,NULL,NULL,NULL
38,344,1958,"ba1809ce17547438ff37d72404fdc2d38b8606fc","Big Bopper","Big Bopper's Wedding","True",0,"male",4,"Rock",3,38353
6,1829,1958,"17c7b36a21daaba00467e0866dd6158a3d5651d6","Big Bopper","Chantilly Lace","True",0,"male",4,"Rock",6,38356
72,65,1958,"12f08be0dc1ba2843a096f3cc8e67144a38566af","Big Bopper","Little Red Riding Hood","True",0,"male",6,"Rock",4,38350
82,36,1958,"680e7874529f5c150d9a144ebd8f390e65684df9","Bill Doggett","Blip Blop","True",NULL,NULL,NULL,NULL,NULL,NULL
92,9,1958,"d65206156b4c2b8c9fdc06d03cc906f901b87fcb","Bill Doggett","Hold It","True",NULL,NULL,NULL,NULL,NULL,NULL
67,34,1958,NULL,"Bill Haley And His Comets","Lean Jean","True",NULL,NULL,NULL,NULL,NULL,NULL
2,1219,1958,"1a7ab8a2436bed5053f50def2a1d9a5268b258c3","Bill Parsons","The All American Boy","True",0,"male",4,"Pop",4,5947362
14,789,1958,"1527cdef57dd75170efd443bcf9846abfc499d83","Billy & Lillie","Lucky Ladybug","True",NULL,NULL,NULL,NULL,NULL,NULL
4,1454,1958,"81e23baca85b1e42d74f4630c12f6a68997d33fa","Billy Grammer","Gotta Travel On","True",0,"male",4,"Country",0,1786328
37,464,1958,NULL,"Billy Vaughn And His Orchestra","Blue Hawaii","False",NULL,NULL,NULL,NULL,NULL,NULL
